property_code,property_name,city,state,market_type,total_rooms,standard_king_rooms,standard_double_rooms,deluxe_king_rooms,suite_rooms,accessible_rooms,base_rate_standard,base_rate_deluxe,base_rate_suite,meeting_space_sqft,max_meeting_capacity,group_block_auto_approve_max_rooms,max_discount_auto_approve_pct,blackout_dates,general_manager,notes
SOL-CHI,Solstice Chicago Riverwalk,Chicago,IL,Urban,220,90,60,40,20,10,219,259,379,8500,300,25,12,2026-07-02 to 2026-07-06; 2026-12-28 to 2027-01-02,Renee Okafor,Highest-demand property in the portfolio; group requests over 25 rooms need 2+ weeks lead time.
SOL-AUS,Solstice Austin Congress Ave,Austin,TX,Urban,180,70,50,35,20,5,199,239,349,6000,220,30,15,2027-03-10 to 2027-03-19,Marcus Webb,SXSW week is a hard blackout; no group holds accepted regardless of discount.
SOL-DEN,Solstice Denver Union Station,Denver,CO,Urban,160,60,45,30,20,5,189,229,329,5200,180,25,12,2026-08-01 to 2026-08-05,Priya Nair,"Ski-season weekends (Dec-Feb, Thu-Sun) run at reduced group discount ceiling of 8%."
SOL-NSH,Solstice Nashville Music Row,Nashville,TN,Urban,150,55,40,30,20,5,209,249,359,4800,150,20,10,2026-06-06 to 2026-06-09,Tyler Combs,Very high leisure/bachelorette demand on weekends; weekday group blocks preferred.
SOL-TPA,Solstice Tampa Bayshore,Tampa,FL,Resort,210,80,55,40,25,10,179,219,329,9000,320,35,15,2027-02-05 to 2027-02-09,Andrea Lin,Popular for sports-team travel; has a dedicated group check-in lane.
SOL-PHX,Solstice Phoenix Camelback,Phoenix,AZ,Resort,240,95,65,45,25,10,169,209,309,10500,350,35,15,2027-01-15 to 2027-01-19,Diego Fuentes,Rate drops ~20% June-Aug (off-peak); best value window for large blocks.
SOL-CLT,Solstice Charlotte Uptown,Charlotte,NC,Urban,170,65,45,30,25,5,189,229,339,5600,200,25,12,none scheduled,Sam Whitfield,New property (opened 2025); still building group-sales track record.
SOL-SAC,Solstice Sacramento Capitol,Sacramento,CA,Urban,140,50,40,25,20,5,179,219,319,4200,140,20,10,2027-05-03 to 2027-05-07,Karen Ostrowski,"State-legislature session weeks (Jan-May, weekdays) run at reduced discount ceiling of 8%."
SOL-CMH,Solstice Columbus Short North,Columbus,OH,Urban,130,50,35,25,15,5,169,199,289,3800,120,20,10,2026-09-04 to 2026-09-07,Lauren Ashby,Popular with university-affiliated group travel; verify insurance certificate for youth groups.
SOL-PVD,Solstice Providence Waterplace,Providence,RI,Urban,120,45,35,20,15,5,159,189,-395,3200,100,15,10,none scheduled,Owen Fitzgerald,Smallest property in the portfolio; blocks over 15 rooms should be routed to Boston-area sister property instead.
